step,total_agents,evacuated,moving,blocked,panic,avg_stress,evacuation_rate
159,25,1,0,24,0,0.0,0.04
160,25,1,0,24,0,0.0,0.04
161,25,1,0,24,0,0.0,0.04
162,25,1,0,24,0,0.0,0.04
163,25,1,0,24,0,0.0,0.04
164,25,1,0,24,0,0.0,0.04
165,25,1,0,24,0,0.0,0.04
166,25,1,0,24,0,0.0,0.04
167,25,1,0,24,0,0.0,0.04
168,25,1,0,24,0,0.0,0.04
169,25,1,0,24,0,0.0,0.04
170,25,1,0,24,0,0.0,0.04
171,25,1,0,24,0,0.0,0.04
172,25,1,0,24,0,0.0,0.04
173,25,1,0,24,0,0.0,0.04
174,25,1,0,24,0,0.0,0.04
175,25,1,0,24,0,0.0,0.04
176,25,1,0,24,0,0.0,0.04
177,25,1,0,24,0,0.0,0.04
178,25,1,0,24,0,0.0,0.04
179,25,1,0,24,0,0.0,0.04
180,25,1,0,24,0,0.0,0.04
181,25,1,0,24,0,0.0,0.04
182,25,1,0,24,0,0.0,0.04
183,25,1,0,24,0,0.0,0.04
184,25,1,0,24,0,0.0,0.04
185,25,1,0,24,0,0.0,0.04
186,25,1,0,24,0,0.0,0.04
187,25,1,0,24,0,0.0,0.04
188,25,1,0,24,0,0.0,0.04
189,25,1,0,24,0,0.0,0.04
190,25,1,0,24,0,0.0,0.04
191,25,1,0,24,0,0.0,0.04
192,25,1,0,24,0,0.0,0.04
193,25,1,0,24,0,0.0,0.04
194,25,1,0,24,0,0.0,0.04
195,25,1,0,24,0,0.0,0.04
196,25,1,0,24,0,0.0,0.04
197,25,1,0,24,0,0.0,0.04
198,25,1,0,24,0,0.0,0.04
199,25,1,0,24,0,0.0,0.04
200,25,1,0,24,0,0.0,0.04
201,25,1,0,24,0,0.0,0.04
202,25,1,0,24,0,0.0,0.04
203,25,1,0,24,0,0.0,0.04
204,25,1,0,24,0,0.0,0.04
205,25,1,0,24,0,0.0,0.04
206,25,1,0,24,0,0.0,0.04
207,25,1,0,24,0,0.0,0.04
208,25,1,0,24,0,0.0,0.04
209,25,1,0,24,0,0.0,0.04
210,25,1,0,24,0,0.0,0.04
211,25,1,0,24,0,0.0,0.04
212,25,1,0,24,0,0.0,0.04
213,25,1,0,24,0,0.0,0.04
214,25,1,0,24,0,0.0,0.04
215,25,1,0,24,0,0.0,0.04
216,25,1,0,24,0,0.0,0.04
217,25,1,0,24,0,0.0,0.04
218,25,1,0,24,0,0.0,0.04
219,25,1,0,24,0,0.0,0.04
220,25,1,0,24,0,0.0,0.04
221,25,1,0,24,0,0.0,0.04
222,25,1,0,24,0,0.0,0.04
223,25,1,0,24,0,0.0,0.04
224,25,1,0,24,0,0.0,0.04
225,25,1,0,24,0,0.0,0.04
226,25,1,0,24,0,0.0,0.04
227,25,1,0,24,0,0.0,0.04
228,25,1,0,24,0,0.0,0.04
229,25,1,0,24,0,0.0,0.04
230,25,1,0,24,0,0.0,0.04
231,25,1,0,24,0,0.0,0.04
232,25,1,0,24,0,0.0,0.04
233,25,1,0,24,0,0.0,0.04
234,25,1,0,24,0,0.0,0.04
235,25,1,0,24,0,0.0,0.04
236,25,1,0,24,0,0.0,0.04
237,25,1,0,24,0,0.0,0.04
238,25,1,0,24,0,0.0,0.04
239,25,1,0,24,0,0.0,0.04
240,25,1,0,24,0,0.0,0.04
241,25,1,0,24,0,0.0,0.04
242,25,1,0,24,0,0.0,0.04
243,25,1,0,24,0,0.0,0.04
244,25,1,0,24,0,0.0,0.04
245,25,1,0,24,0,0.0,0.04
246,25,1,0,24,0,0.0,0.04
247,25,1,0,24,0,0.0,0.04
248,25,1,0,24,0,0.0,0.04
249,25,1,0,24,0,0.0,0.04
250,25,1,0,24,0,0.0,0.04
251,25,1,0,24,0,0.0,0.04
252,25,1,0,24,0,0.0,0.04
253,25,1,0,24,0,0.0,0.04
254,25,1,0,24,0,0.0,0.04
255,25,1,0,24,0,0.0,0.04
256,25,1,0,24,0,0.0,0.04
257,25,1,0,24,0,0.0,0.04
258,25,1,0,24,0,0.0,0.04
259,25,1,0,24,0,0.0,0.04
260,25,1,0,24,0,0.0,0.04
261,25,1,0,24,0,0.0,0.04
262,25,1,0,24,0,0.0,0.04
263,25,1,0,24,0,0.0,0.04
264,25,1,0,24,0,0.0,0.04
265,25,1,0,24,0,0.0,0.04
266,25,1,0,24,0,0.0,0.04
267,25,1,0,24,0,0.0,0.04
268,25,1,0,24,0,0.0,0.04
269,25,1,0,24,0,0.0,0.04
270,25,1,0,24,0,0.0,0.04
271,25,1,0,24,0,0.0,0.04
272,25,1,0,24,0,0.0,0.04
273,25,1,0,24,0,0.0,0.04
274,25,1,0,24,0,0.0,0.04
