step,total_agents,evacuated,moving,blocked,panic,avg_stress,evacuation_rate
1,25,0,25,0,0,0.0,0.0
2,25,0,25,0,0,0.0,0.0
3,25,0,25,0,0,0.0,0.0
4,25,0,25,0,0,0.0,0.0
5,25,0,25,0,0,0.0,0.0
6,25,0,24,1,0,0.0,0.0
7,25,0,24,1,0,0.0,0.0
8,25,0,24,1,0,0.0,0.0
9,25,0,23,2,0,0.0,0.0
10,25,0,24,1,0,0.0,0.0
11,25,0,24,1,0,0.0,0.0
